,Unnamed: 0,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22,M7_16,M7_17,M7_18,M7_19,M7_20,M7_21,M7_22,Mb6_16,Mb6_17,Mb6_18,Mb6_19,Mb6_20,Mb6_21,Mb6_22
223,223,906.0,30,0,29,0,9,1,1,4,0,29,0,9,1,1,2,0.0,0.052929576,0.0,0.014130836,0.0013293704,-0.0018835743,0.0023428802,0.0,0.08290192,0.0,0.017691055,0.0021597082,-0.0044015693,0.0027618972
224,224,393.0,102,0,0,0,97,0,2,32,0,0,0,97,0,2,29,0.0,0.0,0.0,0.07147007,0.0,-0.0009038928,0.01616971,0.0,0.0,0.0,0.098864764,0.0,-0.0008912337,0.015854828
225,225,400.0,40,0,0,15,3,0,0,8,0,0,15,3,0,0,2,0.0,0.0,0.023337383,0.0029190897,0.0,0.0,0.002234952,0.0,0.0,0.033702545,0.0055791335,0.0,0.0,0.002761113
226,226,409.0,239,0,206,25,28,0,56,162,0,206,25,28,0,56,4,0.0,0.14733054,0.017274095,0.017386964,0.0,0.038447604,0.0015365036,0.0,0.18741935,0.017010663,0.01869873,0.0,0.037254058,0.0016165666
227,227,419.0,48,0,0,0,24,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0.022355836,0.0,0.0,0.0,0.0,0.0,0.0,0.03228091,0.0,0.0,0.0
228,228,422.0,120,0,0,0,45,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.017494937,0.0,0.0,0.0,0.0,0.0,0.0,0.026459033,0.0,0.0,0.0
229,229,186.0,86,33,31,0,17,54,0,55,33,31,0,17,54,0,46,0.026097525,0.027732234,0.0,-0.014052219,-0.0471782,0.0,0.021380575,0.037753355,0.02866334,0.0,-0.016592441,-0.05109844,0.0,0.028327052
230,230,427.0,47,0,46,3,10,0,0,7,0,46,3,10,0,0,4,0.0,0.09714951,0.003559065,0.008574453,0.0,0.0,0.0036908083,0.0,0.07807959,0.005242137,0.016390035,0.0,0.0,0.003966514
231,231,428.0,53,0,53,0,25,1,3,15,0,53,0,25,1,3,15,0.0,0.05417,0.0,0.022642482,-0.00078650034,0.0012947767,0.01518986,0.0,0.04516531,0.0,0.038179018,-0.0010863857,0.0012592977,0.018853726
232,232,941.0,213,0,0,10,163,54,2,89,0,0,10,163,54,2,88,0.0,0.0,0.0026179878,0.05126994,0.016719013,0.00010442464,0.020752467,0.0,0.0,0.0040944302,0.07256075,0.026090086,8.799487e-05,0.018737549
233,233,942.0,72,1,0,0,55,4,0,5,1,0,0,55,4,0,0,-0.00033929537,0.0,0.0,0.057918288,0.00020390253,0.0,0.0,-0.00060407247,0.0,0.0,0.059141472,0.00065882097,0.0,0.0
234,234,430.0,260,0,247,12,5,2,9,23,0,247,12,5,2,9,6,0.0,0.07943611,0.0011623814,0.00047658724,-0.00024251071,0.00021071902,0.00037476607,0.0,0.045108415,0.0025744475,0.0006325963,-0.00039170356,-0.00053031417,5.741112e-05
235,235,429.0,317,39,206,8,14,26,16,55,39,206,8,14,26,16,13,0.0086859865,0.04566892,0.0007978947,-0.0026870815,-0.005487368,-0.0012272609,0.0005926183,0.0050127883,0.029339528,0.0008454477,-0.002339826,-0.0063317064,-0.002629673,0.00035145305
236,236,431.0,693,27,616,13,84,2,7,162,27,616,13,84,2,7,41,0.0036252793,0.073624715,-0.0006764267,0.0057834373,-0.00021815315,0.0005789951,0.0028555458,0.0034099256,0.06329143,-0.0007581268,0.0065467954,-0.00024224371,0.00059837324,0.003211427
237,237,434.0,99,55,26,2,11,2,1,4,55,26,2,11,2,1,2,0.050763167,0.020653898,0.00049399334,0.0037464206,-0.00043909266,-0.00028393685,-0.0009351817,0.03244275,0.014499142,0.0009274444,0.0040187263,-0.00071680435,-0.0007257512,-0.0012423325
238,238,435.0,387,97,282,35,45,10,7,33,97,282,35,45,10,7,1,0.03994963,0.09702578,0.0030705377,0.003522844,0.0014646995,0.00043242882,0.00012106199,0.029779164,0.07799915,0.0029970428,0.0028371206,0.00087439484,0.00026229816,0.00015222227
